"","Team1","Team2","Team1_Batting_Run_Rate","Team1_Batting_Average","Team1_Batting_Wicket_Rate","Team1_Batting_Index","Team2_Batting_Run_Rate","Team2_Batting_Average","Team2_Batting_Wicket_Rate","Team2_Batting_Index","Team1_Bowling_Economy_Rate","Team1_Bowling_Average","Team1_Bowling_Strike_Rate","Team1_Bowling_Index","Team2_Bowling_Economy_Rate","Team2_Bowling_Average","Team2_Bowling_Strike_Rate","Team2_Bowling_Index","Toss_Winner"
"1","CSK","KKR",0.219368796757882,1.31621278054729,0.031352864341181,11.0001080191752,0.203890808221778,1.22334484933067,0.0496040434743504,9.28091353076083,16.625,1.22334484933067,0.0496040434743504,20.6747129983969,15.7482638888889,1.31621278054729,0.031352864341181,21.3639915804496,0
"2","CSK","KKR",0.217199477894191,1.30319686736515,0.0311149826698929,10.5769312395903,0.202857846755753,1.21714708053452,0.0517677099685469,9.39273640594506,15.4722222222222,1.21714708053452,0.0517677099685469,19.7722573066838,17.4444444444444,1.30319686736515,0.0311149826698929,23.1642723547501,1
"3","CSK","KTK",0.209935897435897,1.25961538461538,0.0384615384615385,9.7064479638009,0.244565217391304,1.46739130434783,0.0326086956521739,13.2065217391304,15,1.46739130434783,0.0326086956521739,22.0108695652174,14.5555555555556,1.25961538461538,0.0384615384615385,18.3344017094017,0
"4","CSK","KTK",0.207650273224044,1.24590163934426,0.040983606557377,9.46885245901639,0.18503937007874,1.11023622047244,0.0393700787401575,7.45444319460068,15.6666666666667,1.11023622047244,0.0393700787401575,17.3937007874016,16.8888888888889,1.24590163934426,0.040983606557377,21.0418943533698,1
"5","CSK","KXIP",0.212145650506522,1.27287390303913,0.0375446169052269,10.1632630610772,0.206683994871887,1.24010396923132,0.0557235917362504,9.81614614853006,16.2407407407407,1.24010396923132,0.0557235917362504,20.8072015335725,16.4444444444444,1.27287390303913,0.0375446169052269,21.3588423218278,0
"6","CSK","KXIP",0.247255694133366,1.4835341648002,0.0393745366567403,13.8808570572503,0.23324970822966,1.39949824937796,0.0489972372886223,12.8901091165739,18.969696969697,1.39949824937796,0.0489972372886223,28.4191927219782,20.1212121212121,1.4835341648002,0.0393745366567403,30.7661842868172,1
"7","CSK","MI",0.211415003011684,1.2684900180701,0.0540912561101591,10.2632905846982,0.221466824274013,1.32880094564408,0.0481603843290224,11.0183298813941,17.7094017094017,1.32880094564408,0.0481603843290224,23.9192940576643,17.1196581196581,1.2684900180701,0.0540912561101591,22.6571335431144,0
"8","CSK","MI",0.222708855665843,1.33625313399506,0.0429079542427155,11.0472232282209,0.220467760364621,1.32280656218773,0.056572454605998,10.8153095828195,17.9135802469136,1.32280656218773,0.056572454605998,23.9895638380557,18.2962962962963,1.33625313399506,0.0429079542427155,24.6147615122759,1
"9","CSK","PW",0.199802608800373,1.19881565280224,0.0429841837369735,8.83170195420454,0.19205570459988,1.15233422759928,0.0547482619855284,8.28404589776992,15.7777777777778,1.15233422759928,0.0547482619855284,18.4089908839332,16.2777777777778,1.19881565280224,0.0429841837369735,19.6260043426768,0
"10","CSK","PW",0.217114325068871,1.30268595041322,0.0325579845374567,10.4007747933884,0.194593159844583,1.1675589590675,0.0488953645974519,8.63350403404146,15.7222222222222,1.1675589590675,0.0488953645974519,18.5875990181019,17.7222222222222,1.30268595041322,0.0325579845374567,23.1128328741965,1
"11","CSK","RR",0.219778506436061,1.31867103861637,0.0365785839550306,10.7885424832586,0.212698242982104,1.27618945789262,0.057174460627589,10.1253473890339,17.1666666666667,1.27618945789262,0.057174460627589,22.3879203789973,17.9351851851852,1.31867103861637,0.0365785839550306,24.0071714667148,0
"12","CSK","RR",0.219541138255377,1.31724682953226,0.0503286572196939,11.4720809798221,0.218352165068294,1.31011299040976,0.0399446174284884,11.076018908586,16.9111111111111,1.31011299040976,0.0399446174284884,23.2346453679486,17.6666666666667,1.31724682953226,0.0503286572196939,25.2124874234083,1
"13","CSK","SRH",0.242491223992835,1.45494734395701,0.032904084417215,13.1595704942387,0.217122814223344,1.30273688534006,0.0467512186452176,10.544870581937,17.75,1.30273688534006,0.0467512186452176,23.4330457376377,19.8333333333333,1.45494734395701,0.032904084417215,29.4910324349519,0
"14","CSK","SRH",0.25031502016129,1.50189012096774,0.0398185483870968,13.9517989151306,0.239247311827957,1.43548387096774,0.0524193548387097,12.8548387096774,19.7777777777778,1.43548387096774,0.0524193548387097,28.5663082437276,21.0555555555556,1.50189012096774,0.0398185483870968,31.9067960349462,1
"15","DC","CSK",0.1848505809441,1.1091034856646,0.066743596161105,7.60410155985994,0.211445493487193,1.26867296092316,0.0470495672698662,10.0196688958825,17.4,1.26867296092316,0.0470495672698662,22.2659308797389,14.2,1.1091034856646,0.066743596161105,15.9767967845778,0
"16","DC","CSK",0.215260421393152,1.29156252835891,0.049641920560799,10.3629607244493,0.215547309143399,1.29328385486039,0.0496608163948035,10.3290211628739,17.9777777777778,1.29328385486039,0.0496608163948035,23.4905965432527,17.1777777777778,1.29156252835891,0.049641920560799,22.4951024353798,1
"17","DC","KKR",0.208444009930685,1.25066405958411,0.0484109737403359,9.71414116562567,0.210173291717362,1.26103975030417,0.0475506729666787,10.2277956971959,17.2444444444444,1.26103975030417,0.0475506729666787,22.9033151011518,16.0444444444444,1.25066405958411,0.0484109737403359,20.2400441908084,0
